55,115,84.5
52,95,68
48,95,76
45,99,69.5
42,86,55
50,109,67
60,119,95
75,156,119.5
90,186,145
100,204,140
105,203,152.5
100,202,150
95,198,147.5
90,189,126
85,166,120.5
80,151,115
85,162,122.5
95,191,144.5
100,194,148
95,198,133.5
90,182,128
80,150,117
65,136,96.5
58,126,96
60,116,99
57,124,83.5
53,100,75.5
50,93,75
47,85,73.5
55,103,91.5
65,132,87.5
80,164,128
95,196,140.5
105,208,161.5
110,213,165
105,213,164.5
100,192,155
95,194,152.5
90,181,137
85,161,120.5
90,174,140
100,205,159
105,219,150.5
100,204,143
95,198,148.5
85,166,129.5
70,135,99
63,119,100.5
65,139,104.5
62,130,87
58,118,97
55,100,90.5
52,102,79
60,121,80
70,149,106
85,173,117.5
100,198,148
110,210,158
115,234,170.5
110,210,165
105,220,158.5
100,193,156
95,194,134.5
90,181,145
95,188,145.5
100,205,147
95,183,145.5
100,193,149
100,192,144
90,181,140
75,154,117.5
68,130,99
70,139,96
67,129,108.5
63,136,92.5
60,117,89
57,121,86.5
65,133,89.5
75,151,118.5
90,171,135
105,202,155.5
115,221,173.5
120,231,179
115,239,171.5
110,227,171
105,201,157.5
100,193,148
95,200,148.5
100,199,140
110,221,160
115,222,182.5
110,223,156
105,204,155.5
95,180,138.5
80,165,123
73,140,114.5
75,142,118.5
72,138,112
68,143,109
65,139,87.5
62,123,87
70,132,100
80,154,123
95,183,149.5
100,201,158
110,219,165
115,226,166.5
110,217,171
105,218,161.5
100,208,154
95,199,134.5
90,188,144
95,193,134.5
100,210,155
100,196,144
105,201,149.5
100,205,153
100,206,144
85,172,119.5
78,150,126
50,103,70
47,101,61.5
43,94,55.5
40,77,55
40,76,55
48,93,68
58,115,95
73,151,105.5
88,167,137
98,199,151
103,205,153.5
98,197,145
93,194,139.5
88,174,129
83,156,122.5
78,148,127
83,171,118.5
93,186,144.5
98,194,151
93,187,134.5
88,172,125
78,152,107
63,120,91.5
55,110,86.5
45,100,65.5
42,93,73
38,73,53
35,69,61.5
35,61,54.5
43,91,74.5
53,100,86.5
68,126,93
83,156,115.5
93,195,132.5
98,187,146
93,187,147.5
88,181,128
83,174,132.5
78,146,122
73,142,109.5
78,161,113
88,167,142
93,182,140.5
88,182,126
83,156,123.5
73,136,118.5
58,120,94
50,92,78
