0,0,9
22,5,13
36,10,25
53,15,30
69,20,41
46,15,32
19,5,16
0,0,0
46,15,39
100,30,70
127,40,82
142,45,92
142,45,97
129,40,80
93,30,61
54,15,32
0,0,0
21,5,11
53,15,33
82,25,51
92,30,69
113,35,78
96,30,60
63,20,48
30,10,22
46,15,34
65,20,49
80,25,60
90,30,65
76,25,53
47,15,36
25,5,20
45,15,37
95,30,66
128,40,82
143,45,96
141,45,95
126,40,87
92,30,61
53,15,31
23,5,19
55,15,31
80,25,55
105,35,73
123,40,82
143,45,100
129,40,88
97,30,64
4,0,0
3,0,0
0,0,0
20,5,11
30,10,30
24,5,10
10,0,6
9,0,7
47,15,35
97,30,68
126,40,87
140,45,93
141,45,99
125,40,87
96,30,70
52,15,33
0,0,10
0,0,10
40,10,23
65,20,46
80,25,52
91,30,63
81,25,53
47,15,31
75,25,54
91,30,69
110,35,71
130,40,82
142,45,94
129,40,84
99,30,61
67,20,43
84,25,51
109,35,71
126,40,90
135,45,90
144,45,94
130,40,87
111,35,77
85,25,60
63,20,41
98,30,60
123,40,84
160,50,105
168,55,113
158,50,109
139,45,91
115,35,76
0,0,0
1,0,0
15,5,19
31,10,23
53,15,39
36,10,20
0,0,0
0,0,4
53,15,31
92,30,68
125,40,85
143,45,97
140,45,95
130,40,80
91,30,65
52,15,36
3,0,4
0,0,0
37,10,23
62,20,40
83,25,50
97,30,61
78,25,57
55,15,39
15,5,12
33,10,29
47,15,34
60,20,45
79,25,60
63,20,41
36,10,21
0,0,3
53,15,30
97,30,60
125,40,83
137,45,93
139,45,90
124,40,85
95,30,63
50,15,30
0,0,5
37,10,23
63,20,49
91,30,70
115,35,72
129,40,80
106,35,79
83,25,50
46,15,37
60,20,45
79,25,59
92,30,63
112,35,70
94,30,60
64,20,43
34,10,25
46,15,36
90,30,67
121,40,85
141,45,90
135,45,97
130,40,81
93,30,66
52,15,33
39,10,29
62,20,41
98,30,60
130,40,87
140,45,99
155,50,103
141,45,100
111,35,75
